request_id,function_label,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,response_snippet
0,exp1-go-arm,warmup,1777021547.182734,1777021547.461971,279.2370319366455,200,ba5b311b-8ba1-4af6-af93-7e3bb2256b21,,
1,exp1-go-arm,warmup,1777021547.248054,1777021547.462452,214.39790725708008,200,4dc253a5-f32d-4740-9eeb-2767b9671695,,
2,exp1-go-arm,warmup,1777021547.283575,1777021547.514069,230.49402236938477,200,3ffec736-e63c-45b6-8564-e823fb929281,,
3,exp1-go-arm,warmup,1777021547.333206,1777021547.567234,234.02810096740723,200,075e65dd-81d7-4f03-a14e-9e0621fa4047,,
4,exp1-go-arm,warmup,1777021547.3837922,1777021547.584228,200.43587684631348,200,92927644-5d9f-4796-a2fd-5efb24019e94,,
6,exp1-go-arm,warmup,1777021547.483989,1777021547.6383822,154.39319610595703,200,7f121191-12e7-4715-9ec9-ab0b1fcbf67b,,
7,exp1-go-arm,warmup,1777021547.533964,1777021547.68528,151.31616592407227,200,6047c46b-4f2c-44b7-80f4-8a9b97423b42,,
8,exp1-go-arm,warmup,1777021547.584451,1777021547.759594,175.14300346374512,200,40eb6dfb-5178-4d87-806e-e0ce2b3d0b4b,,
9,exp1-go-arm,warmup,1777021547.6340292,1777021547.77646,142.43078231811523,200,17753ceb-db75-4223-8dd4-abae994005a6,,
10,exp1-go-arm,warmup,1777021547.684025,1777021547.8295648,145.5397605895996,200,4f8c566e-1bd8-4382-bd4e-d863a25415eb,,
5,exp1-go-arm,warmup,1777021547.4337971,1777021547.8625228,428.7257194519043,200,1efb70ba-6982-4d6f-96e9-a67e31971e71,,
11,exp1-go-arm,warmup,1777021547.7340102,1777021547.903596,169.5857048034668,200,19be0bb2-c660-4f38-8863-4d0648dffa5e,,
12,exp1-go-arm,warmup,1777021547.783838,1777021547.936418,152.58002281188965,200,cfbd62b1-f95f-438b-9a0f-2641d919fedf,,
14,exp1-go-arm,warmup,1777021547.8840299,1777021548.0053709,121.34099006652832,200,19eca892-c413-42f3-9059-eb5ceb813da5,,
13,exp1-go-arm,warmup,1777021547.833339,1777021548.063328,229.98905181884766,200,a9452ba8-fc89-4dc6-aa4b-df72133a6546,,
15,exp1-go-arm,warmup,1777021547.934016,1777021548.0721338,138.11779022216797,200,5972b870-9e08-472d-9df1-5605dd509444,,
16,exp1-go-arm,warmup,1777021547.983553,1777021548.13147,147.9170322418213,200,7994f02b-5929-45be-9257-4005275ae514,,
17,exp1-go-arm,warmup,1777021548.033825,1777021548.155873,122.04813957214355,200,c318116d-0da1-4c7b-83d9-f8a85b59a524,,
18,exp1-go-arm,warmup,1777021548.083791,1777021548.2275991,143.80812644958496,200,00b5bcee-567e-4aed-9271-9bf1224356e3,,
19,exp1-go-arm,warmup,1777021548.133044,1777021548.2673438,134.29975509643555,200,2383c08f-8fa5-4b88-b755-3a98e7ec8bee,,
20,exp1-go-arm,warmup,1777021548.184022,1777021548.339828,155.8060646057129,200,fe6e89b8-010c-4d21-af58-f6d35c72070d,,
21,exp1-go-arm,warmup,1777021548.233459,1777021548.380505,147.04608917236328,200,c9861c82-74a2-4c06-bfd2-fda6418d61ec,,
22,exp1-go-arm,warmup,1777021548.283802,1777021548.4303098,146.50774002075195,200,38d98dd6-eb81-4b8a-bb92-d01bc3dd38b7,,
23,exp1-go-arm,warmup,1777021548.3340218,1777021548.4769511,142.9293155670166,200,09534270-89cc-41c4-919d-b1888cdcd567,,
24,exp1-go-arm,warmup,1777021548.383328,1777021548.53132,147.99213409423828,200,9ad12771-551a-4931-a5aa-4f7c6c2c4029,,
25,exp1-go-arm,warmup,1777021548.433332,1777021548.59664,163.30814361572266,200,60a1b312-02bf-4fb7-9e5f-df662f0789c3,,
26,exp1-go-arm,warmup,1777021548.483694,1777021548.613131,129.43696975708008,200,627738d5-48ad-4d53-a381-42e239a2044d,,
27,exp1-go-arm,warmup,1777021548.533212,1777021548.67552,142.30799674987793,200,e508fdc1-05ba-42ea-a7e3-314a63fc9906,,
28,exp1-go-arm,warmup,1777021548.5841842,1777021548.728201,144.01674270629883,200,eb4ccc81-3905-4308-8bee-7f4ae2428e8f,,
29,exp1-go-arm,warmup,1777021548.634068,1777021548.773342,139.27388191223145,200,c8435e5b-1ae4-421c-a209-d67bfde51e5f,,
30,exp1-go-arm,warmup,1777021548.6839669,1777021548.831629,147.66216278076172,200,359b51ef-97aa-482b-825c-33b698902548,,
31,exp1-go-arm,warmup,1777021548.733566,1777021548.921633,188.06695938110352,200,1cc9025c-09d8-4957-a040-486221be25a1,,
