request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,execution_ms,memory_used_mb,cost_usd
0,sustained,warmup,1777004450.7726889,1777004451.277051,504.3621063232422,200,c635326f-bc0a-43a6-ac57-3b6a969c14a6,,4.800,20.981,0.0000013619
1,sustained,warmup,1777004450.793524,1777004451.26824,474.7159481048584,200,9776e6ce-f759-47ce-b62a-6ab7fb78bee6,,4.800,19.073,0.0000012741
2,sustained,warmup,1777004450.812437,1777004451.2739499,461.51280403137207,200,b7a7b116-0bc6-4a82-8ee9-d684e53ce49c,,4.580,19.073,0.0000012521
3,sustained,warmup,1777004450.8335319,1777004451.359929,526.3972282409668,200,b31631ce-0e3d-426b-97c7-461f35507c51,,4.630,19.073,0.0000013400
4,sustained,warmup,1777004450.852854,1777004451.375991,523.137092590332,200,ff72aa36-f4ed-4a1a-952b-2ff97021b39e,,6.400,19.073,0.0000015157
5,sustained,warmup,1777004450.8734632,1777004451.262329,388.8659477233887,200,ff8515a6-a9f7-47ab-a94d-b1e1091e1889,,3.880,19.073,0.0000012521
6,sustained,warmup,1777004450.893528,1777004451.288586,395.05791664123535,200,8d9dca6a-ba9b-4316-9131-9afdd0eae7a5,,6.210,19.073,0.0000015157
7,sustained,warmup,1777004450.952223,1777004451.2842062,331.9830894470215,200,71ded09b-fcae-4b21-816a-5552a77a1574,,4.580,19.073,0.0000012521
8,sustained,warmup,1777004450.957089,1777004451.364319,407.2301387786865,200,780e9aba-0148-459b-b364-f5a560ecfd02,,4.170,19.073,0.0000013619
9,sustained,warmup,1777004450.9677498,1777004451.367497,399.7471332550049,200,5ab53593-663b-415c-a699-ef18aa4b5474,,4.220,19.073,0.0000012960
10,sustained,warmup,1777004450.979569,1777004451.284354,304.78501319885254,200,0fca6bc9-4821-471b-83e8-aae57163b9e4,,4.470,19.073,0.0000012741
11,sustained,warmup,1777004450.9935098,1777004451.3354418,341.9320583343506,200,b2a039bf-dfcc-497c-a0cb-8c7874b130cb,,4.590,19.073,0.0000012960
12,sustained,warmup,1777004451.012799,1777004451.321664,308.8650703430176,200,9eb164c9-4442-4ee0-881f-e86e93922cdf,,5.720,19.073,0.0000017574
13,sustained,warmup,1777004451.03247,1777004451.335094,302.623987197876,200,e9a7d487-ba85-4549-bc9c-329a0348d087,,5.840,19.073,0.0000014937
14,sustained,warmup,1777004451.0528152,1777004451.3676102,314.79501724243164,200,b895bf44-e21d-4d9d-982b-89f925af6d45,,6.150,19.073,0.0000015157
15,sustained,warmup,1777004451.072806,1777004451.268129,195.32322883605957,200,a7fca8af-331a-4e5f-9231-0e26ee45270e,,3.830,19.073,0.0000000879
16,sustained,warmup,1777004451.093132,1777004451.2885592,195.42717933654785,200,a87e3650-52f7-4ba9-8939-9cfbbb66a140,,4.980,19.073,0.0000001098
17,sustained,warmup,1777004451.113004,1777004451.284298,171.2939739227295,200,cbbef7aa-eeca-4924-8331-9d4b1f85b500,,4.940,19.073,0.0000001098
18,sustained,warmup,1777004451.1324081,1777004451.2842329,151.8247127532959,200,f713d3f9-583e-4d04-90c0-0b51bfe6a0bc,,4.260,19.073,0.0000001098
19,sustained,warmup,1777004451.153536,1777004451.285461,131.92486763000488,200,75e03c64-4492-4873-a29f-9b2c9a2b5e23,,5.350,22.888,0.0000001318
20,sustained,warmup,1777004451.172929,1777004451.2852921,112.36310005187988,200,2a57ad00-42bb-4052-a98b-c665ebc6fa0d,,4.060,19.073,0.0000001098
21,sustained,warmup,1777004451.193475,1777004451.302217,108.74199867248535,200,9b4355a1-fa01-4e10-9552-35713b4f1ebb,,7.380,20.981,0.0000001757
22,sustained,warmup,1777004451.212676,1777004451.328539,115.86284637451172,200,ec7cc2d8-aca8-4ab2-9dc5-515e691fa6aa,,5.890,20.981,0.0000001318
23,sustained,warmup,1777004451.2328808,1777004451.3389912,106.1103343963623,200,71d73bba-f31e-44a4-825c-8459b1a23013,,3.960,20.981,0.0000000879
24,sustained,warmup,1777004451.252688,1777004451.3599591,107.27119445800781,200,a522f306-6adb-4206-ace9-459c63eaddf4,,5.150,20.981,0.0000001318
25,sustained,warmup,1777004451.272506,1777004451.3217988,49.292802810668945,200,eba0de0a-8823-4663-997e-363ceeba9d88,,5.560,20.981,0.0000001318
26,sustained,warmup,1777004451.292702,1777004451.3352478,42.54579544067383,200,2079b45e-bb4f-4792-ac13-bfd1d94802b5,,7.010,20.981,0.0000001757
27,sustained,warmup,1777004451.312507,1777004451.3536901,41.1832332611084,200,b27c2701-a5b8-441e-8a0b-cdb80e9b7795,,3.810,20.981,0.0000000879
28,sustained,warmup,1777004451.332947,1777004451.380803,47.85609245300293,200,68fe65ee-af4c-49ff-a541-bd560ebd7379,,5.570,20.981,0.0000001318
29,sustained,warmup,1777004451.352541,1777004451.39261,40.0691032409668,200,45f3ce6e-34aa-4319-83d0-e7e4fb2c01f2,,4.050,20.981,0.0000001098
30,sustained,warmup,1777004451.37309,1777004451.416252,43.161869049072266,200,95d8075c-38d4-43c8-99f7-66fbbb289ea3,,3.840,20.981,0.0000000879
31,sustained,warmup,1777004451.3926778,1777004451.431885,39.20722007751465,200,4815db92-085f-4b39-a45f-1a91a2e12ba6,,3.810,20.981,0.0000000879
32,sustained,warmup,1777004451.412601,1777004451.454774,42.172908782958984,200,6c2b22bc-22f5-42e9-bee1-a64e2961da91,,4.430,20.981,0.0000001098
33,sustained,warmup,1777004451.432479,1777004451.4760802,43.601274490356445,200,22af1b91-f80d-49d4-b428-7d22e20dc610,,4.010,20.981,0.0000001098
34,sustained,warmup,1777004451.45271,1777004451.494504,41.7940616607666,200,b9703ef6-8b45-4627-b787-bdce0d053fa9,,3.700,20.981,0.0000000879
35,sustained,warmup,1777004451.4724119,1777004451.513689,41.277170181274414,200,4d5c874a-51be-4f1f-872d-7faf9267363f,,3.970,20.981,0.0000000879
36,sustained,warmup,1777004451.4929411,1777004451.538205,45.26376724243164,200,e3a6a40c-7049-4cb7-95ab-2d76176dd470,,4.410,20.981,0.0000001098
37,sustained,warmup,1777004451.5126028,1777004451.5635688,50.96602439880371,200,3b86dacb-bb4b-456e-a00e-e4756e5f770a,,11.270,22.888,0.0000002636
38,sustained,warmup,1777004451.53302,1777004451.5764868,43.466806411743164,200,e9290372-4c62-4e89-b531-971ea4d66c61,,6.940,19.073,0.0000001538
39,sustained,warmup,1777004451.552552,1777004451.592385,39.83306884765625,200,6cc376ff-f914-4362-9de8-f6657c3441dd,,5.880,19.073,0.0000001318
40,sustained,warmup,1777004451.572484,1777004451.614958,42.47403144836426,200,9844fae7-c052-451e-af54-acf804ddfa84,,5.700,19.073,0.0000001318
41,sustained,warmup,1777004451.592452,1777004451.639173,46.72098159790039,200,05f3cbb3-1ec6-4151-b98c-721c2f6b1319,,5.180,20.027,0.0000001318
42,sustained,warmup,1777004451.612771,1777004451.6556969,42.92583465576172,200,14c61e4d-64c6-4318-8f6c-10eac443b340,,5.640,20.027,0.0000001318
43,sustained,warmup,1777004451.6326358,1777004451.67152,38.88416290283203,200,f93f134a-6dec-42e9-b282-0cf0e4ade3e4,,5.570,20.027,0.0000001318
44,sustained,warmup,1777004451.653101,1777004451.6948202,41.71919822692871,200,82d0f25b-e314-4404-bef8-1eb2f9abf102,,5.760,20.027,0.0000001318
45,sustained,warmup,1777004451.672487,1777004451.7148852,42.39821434020996,200,dccd8050-5674-470f-b5ba-1351a0d9404d,,6.010,20.027,0.0000001538
46,sustained,warmup,1777004451.692645,1777004451.737066,44.42095756530762,200,1f9b160f-0a1f-44d6-b043-85c6db7e7b8b,,7.500,22.888,0.0000001757
47,sustained,warmup,1777004451.712947,1777004451.752288,39.34121131896973,200,d9d545a7-bed9-4872-82c1-944490149b9c,,5.120,22.888,0.0000001318
48,sustained,warmup,1777004451.733253,1777004451.781961,48.70796203613281,200,547e2c2f-45c2-44f4-a710-345329558f82,,6.400,22.888,0.0000001538
49,sustained,warmup,1777004451.752382,1777004451.7971892,44.80719566345215,200,cb657a66-1ecf-4c22-a39e-6f2b3aa014bd,,5.110,22.888,0.0000001318
50,sustained,warmup,1777004451.7732532,1777004451.821387,48.13385009765625,200,06e00791-ba68-409e-bbdb-37510ece4e4c,,5.920,22.888,0.0000001318
51,sustained,warmup,1777004451.792462,1777004451.8346398,42.177677154541016,200,f43bd5e0-aba1-4b90-a76b-79722a90233c,,7.920,23.842,0.0000001757
52,sustained,warmup,1777004451.812541,1777004451.858465,45.92394828796387,200,6073dadd-2f84-441a-8c99-fdd22397dbae,,6.140,23.842,0.0000001538
53,sustained,warmup,1777004451.83249,1777004451.87554,43.05005073547363,200,11c4a7c4-0a2f-4868-9b04-c9631560a6c9,,5.250,23.842,0.0000001318
54,sustained,warmup,1777004451.8524082,1777004451.899966,47.557830810546875,200,ec4aa6ad-6d7a-4117-9062-60590de74332,,5.500,23.842,0.0000001318
55,sustained,warmup,1777004451.8735201,1777004451.915772,42.2518253326416,200,f6d3ebab-61bd-4dcc-ba1a-644485c78973,,5.340,23.842,0.0000001318
56,sustained,warmup,1777004451.8933299,1777004451.933401,40.07124900817871,200,8e8f9c5b-21ad-48f1-9742-757e3f06cbd8,,5.350,23.842,0.0000001318
57,sustained,warmup,1777004451.912825,1777004451.9544919,41.66674613952637,200,31176423-dc8e-4378-92f5-2ab1c58f9c03,,5.040,23.842,0.0000001318
58,sustained,warmup,1777004451.932895,1777004451.9780202,45.12524604797363,200,436478ae-b8bf-40ff-aaee-6d16f5ec04c5,,5.240,23.842,0.0000001318
59,sustained,warmup,1777004451.953475,1777004451.9980302,44.5551872253418,200,ff7ceaab-0fe4-4a82-bee3-14061f0dbc27,,5.000,23.842,0.0000001318
60,sustained,warmup,1777004451.973553,1777004452.016513,42.960166931152344,200,8fc4723c-2625-4376-a9ae-9942b2851a90,,5.340,23.842,0.0000001318
61,sustained,warmup,1777004451.992579,1777004452.035274,42.695045471191406,200,f9670e78-8949-4909-9daf-51fef56f3c83,,5.650,23.842,0.0000001318
62,sustained,warmup,1777004452.013474,1777004452.053922,40.44795036315918,200,84c88e46-25f8-4eb3-9a26-3a7d42992b77,,5.330,23.842,0.0000001318
63,sustained,warmup,1777004452.032434,1777004452.076402,43.96796226501465,200,4d957c70-e75d-4190-bfc2-4c4cb69c6ce4,,5.130,23.842,0.0000001318
