request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,execution_ms,memory_used_mb,cost_usd
0,sustained,warmup,1777004450.7730272,1777004451.503855,730.827808380127,200,b155bc12-240f-45c6-a9bd-faf799060c0b,,123.070,36.240,0.0000027239
1,sustained,warmup,1777004450.7937238,1777004451.365033,571.3090896606445,200,4ae6a0b7-4175-4f05-badf-949909546a14,,115.310,36.240,0.0000044153
2,sustained,warmup,1777004450.813132,1777004451.565633,752.5010108947754,200,de88b8ec-ec15-473f-9de3-6d8d1d9f02e9,,118.810,36.240,0.0000044593
3,sustained,warmup,1777004450.833819,1777004451.600183,766.3640975952148,200,6f7058fc-aafe-46c9-b978-7503809aff1e,,96.500,36.240,0.0000041078
4,sustained,warmup,1777004450.8531342,1777004451.409194,556.0598373413086,200,806e1f73-9325-4be5-942b-bf4ec94917c4,,123.950,36.240,0.0000048767
5,sustained,warmup,1777004450.873824,1777004451.43117,557.3461055755615,200,e735f7b6-6b12-4cce-bf4e-d7b1ebf8d9fd,,129.930,36.240,0.0000051842
6,sustained,warmup,1777004450.8938482,1777004451.457185,563.3368492126465,200,c2219c8e-9b6c-46af-95f6-3ea38116b597,,132.840,36.240,0.0000057334
7,sustained,warmup,1777004450.964077,1777004451.414196,450.1190185546875,200,44745d0e-94b1-4a51-baa8-849c47c43c21,,128.430,36.240,0.0000045032
8,sustained,warmup,1777004450.964332,1777004451.476955,512.6228332519531,200,0fbedb0e-e93c-4a1b-9951-b064dd1c4249,,105.390,36.240,0.0000055137
9,sustained,warmup,1777004450.968041,1777004451.3986702,430.6292533874512,200,599900f3-5e7f-4bd3-9c15-49b63887df25,,107.550,36.240,0.0000041957
10,sustained,warmup,1777004450.979997,1777004451.380911,400.91419219970703,200,f9c3b27c-1459-4bdf-af5b-01d29e090b02,,90.360,36.240,0.0000038222
11,sustained,warmup,1777004450.994669,1777004451.483268,488.5990619659424,200,4bda42e5-5a4b-4cab-8615-96569b02f038,,142.290,36.240,0.0000058871
12,sustained,warmup,1777004451.013792,1777004451.440004,426.2120723724365,200,ebc132a5-9e52-4abe-ad19-2c73f2f98c37,,124.810,36.240,0.0000046350
13,sustained,warmup,1777004451.033205,1777004451.51131,478.1050682067871,200,97b3b262-7a2c-4baa-99ff-0a8813e0c657,,143.900,36.240,0.0000055357
14,sustained,warmup,1777004451.053299,1777004451.475853,422.55401611328125,200,d43d6183-ef89-4f54-8177-e3db6fff0e97,,123.890,36.240,0.0000047229
15,sustained,warmup,1777004451.073256,1777004451.472278,399.02210235595703,200,4d52d3d5-b158-4b0d-954d-c6f1129c5ffb,,108.980,36.240,0.0000042835
16,sustained,warmup,1777004451.0935738,1777004451.5435112,449.9373435974121,200,f3597218-cbc0-403c-a4cc-72bb17b1ae92,,139.380,36.240,0.0000053160
17,sustained,warmup,1777004451.113989,1777004451.630733,516.7438983917236,200,7a44eefc-bd08-4b57-a4f2-3b55d804ed98,,140.170,36.240,0.0000053160
18,sustained,warmup,1777004451.133146,1777004451.5763588,443.21274757385254,200,e80ce046-474c-4101-a4e2-57ec99a1e427,,125.880,36.240,0.0000045911
19,sustained,warmup,1777004451.15393,1777004451.60138,447.4501609802246,200,4b250895-a064-419a-9d9b-7db74f5c66d1,,122.970,36.240,0.0000052281
20,sustained,warmup,1777004451.173232,1777004451.5113459,338.11378479003906,200,d1ea16d4-6216-4516-80ef-7ed9a5527f4f,,125.930,36.240,0.0000027678
21,sustained,warmup,1777004451.193834,1777004451.528189,334.3548774719238,200,3f9e786c-a543-430f-b3c1-c5c3486f524f,,121.610,36.240,0.0000026800
22,sustained,warmup,1777004451.2130811,1777004451.686435,473.3538627624512,200,acd89c91-f030-4082-bfa7-887d09fd8b1c,,138.280,36.240,0.0000058212
23,sustained,warmup,1777004451.234445,1777004451.5436192,309.1740608215332,200,b4ed6ca9-07e6-41a4-be2f-300597a1cfe9,,130.320,36.240,0.0000028777
24,sustained,warmup,1777004451.25327,1777004451.533739,280.4691791534424,200,22d034f8-86c7-46ef-97b7-ee7834e1fde1,,107.800,36.240,0.0000023724
25,sustained,warmup,1777004451.272876,1777004451.663702,390.8259868621826,200,1ce9ba93-3112-4066-8689-65590611c872,,130.590,36.240,0.0000048327
26,sustained,warmup,1777004451.293025,1777004451.5402849,247.25985527038574,200,cd721605-7ba1-461b-8074-22f967fea303,,106.410,36.240,0.0000023505
27,sustained,warmup,1777004451.312997,1777004451.672744,359.74693298339844,200,5f437b37-3ea7-4dde-99a2-f03df9ffb856,,129.390,36.240,0.0000048108
28,sustained,warmup,1777004451.3333251,1777004451.708508,375.1828670501709,200,cf766e40-c363-45f9-b845-606671b39864,,121.940,36.240,0.0000048327
29,sustained,warmup,1777004451.3539782,1777004451.745572,391.59393310546875,200,74224a31-063c-484e-921f-bada58f0e432,,136.590,36.240,0.0000056016
30,sustained,warmup,1777004451.373572,1777004451.5636978,190.1257038116455,200,8ff23794-50a6-415c-bcea-5a5977a9b122,,120.730,36.240,0.0000026580
31,sustained,warmup,1777004451.393256,1777004451.6046631,211.40718460083008,200,db4d5971-6c26-4aef-b4bf-3284dd34f2f6,,150.420,36.240,0.0000033170
32,sustained,warmup,1777004451.413165,1777004451.714798,301.6328811645508,200,9d55c392-f591-41c2-8262-4d3ff1f3f8de,,119.730,36.240,0.0000048986
33,sustained,warmup,1777004451.433007,1777004451.609696,176.68890953063965,200,1beacb75-dfeb-4c5c-9eef-8511fa8564aa,,127.850,36.240,0.0000028118
34,sustained,warmup,1777004451.453115,1777004451.614474,161.35907173156738,200,534da2dc-2083-4153-b423-a78717e02025,,127.010,36.240,0.0000028118
35,sustained,warmup,1777004451.473011,1777004451.633994,160.98308563232422,200,1bbc9d09-db1d-426e-be34-d6e28dfada31,,123.670,36.240,0.0000027239
36,sustained,warmup,1777004451.493382,1777004451.657967,164.58511352539062,200,28e450d7-7a3e-44f0-9db3-f0a7885cdeb8,,128.290,36.240,0.0000028337
37,sustained,warmup,1777004451.513212,1777004451.681519,168.30706596374512,200,7e380e0c-764e-4e20-a6f6-962dc751e85e,,134.460,36.240,0.0000029655
38,sustained,warmup,1777004451.53346,1777004451.6987882,165.3282642364502,200,093d51bd-f3ff-41a6-9e8a-65c7ef54e7b9,,129.010,36.240,0.0000028557
39,sustained,warmup,1777004451.553022,1777004451.69809,145.06816864013672,200,033fdb73-627e-4007-8948-9e462244b3c5,,111.090,36.240,0.0000024603
40,sustained,warmup,1777004451.572886,1777004451.703167,130.2809715270996,200,620535e0-a136-432e-82f5-d8f50fcf829a,,92.360,36.240,0.0000020429
41,sustained,warmup,1777004451.5928278,1777004451.765928,173.10023307800293,200,3887cbda-4250-4d91-9626-77cc09effc9c,,146.380,36.240,0.0000032291
42,sustained,warmup,1777004451.612983,1777004451.773159,160.17603874206543,200,7a859a16-44cd-431c-b7cf-eab6348ac186,,121.840,36.240,0.0000026800
43,sustained,warmup,1777004451.632925,1777004451.79716,164.23487663269043,200,fc8baffe-ef12-4f86-a4c7-1d8861fc6736,,126.680,36.240,0.0000027898
44,sustained,warmup,1777004451.653365,1777004451.823679,170.31407356262207,200,8ad0eb6b-f219-432b-8c7e-9e827029a96d,,131.420,36.240,0.0000028996
45,sustained,warmup,1777004451.672857,1777004451.807132,134.27495956420898,200,0d0cd6bf-6087-4ea1-993e-a4396ef4521e,,100.940,36.240,0.0000022187
46,sustained,warmup,1777004451.692843,1777004451.8610802,168.23720932006836,200,b147c63c-c35e-42dc-836c-72ff8a471fd5,,129.880,36.240,0.0000028557
47,sustained,warmup,1777004451.7132,1777004451.875266,162.06598281860352,200,f2d300dc-e2af-4db2-b93f-a3c92a7d5898,,120.610,36.240,0.0000026580
48,sustained,warmup,1777004451.733527,1777004451.909913,176.38611793518066,200,1a7a5532-9d2b-4dc4-b948-2c29c4e37e38,,140.640,36.240,0.0000030973
49,sustained,warmup,1777004451.7528179,1777004451.928833,176.01513862609863,200,4d002d20-8775-421a-9000-4ad28ea480cc,,143.790,36.240,0.0000031632
50,sustained,warmup,1777004451.773553,1777004451.939585,166.032075881958,200,21589a7e-5ab7-4640-b0b2-33fad3171ffd,,128.640,36.240,0.0000028337
51,sustained,warmup,1777004451.792871,1777004451.954415,161.5440845489502,200,5bd97775-7185-4db1-b23c-4dd3d0a54d23,,127.510,36.240,0.0000028118
