request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,execution_ms,memory_used_mb,cost_usd
0,sustained,warmup,1777004437.902658,1777004438.0243268,121.66881561279297,200,98c93147-7fed-4183-b874-8025765f603b,,3.450,111.580,0.0000000879
1,sustained,warmup,1777004437.923649,1777004438.0428212,119.1720962524414,200,611461d9-92ab-455f-a292-cc38629462e4,,3.710,111.580,0.0000000879
2,sustained,warmup,1777004437.9436018,1777004438.0428858,99.28393363952637,200,6377e472-267b-407b-ad0e-d20031d8c5a7,,5.840,113.487,0.0000001318
3,sustained,warmup,1777004437.964194,1777004438.074163,109.96890068054199,200,ed85e93b-c98d-42d3-b146-c800595eae4a,,7.610,113.487,0.0000001757
4,sustained,warmup,1777004437.984571,1777004438.0904572,105.88622093200684,200,128665c6-b802-472d-a350-1fc54c91f686,,7.350,113.487,0.0000001757
5,sustained,warmup,1777004438.00283,1777004438.116456,113.62600326538086,200,3c9eb3b1-60ca-4e44-8f3a-e524045e4ef4,,3.840,111.580,0.0000000879
6,sustained,warmup,1777004438.0229802,1777004438.131707,108.72673988342285,200,573b0814-bfda-448f-a878-c8a4add3ec0e,,6.960,113.487,0.0000001538
7,sustained,warmup,1777004438.042453,1777004438.080687,38.23399543762207,200,1949c88e-2192-4615-b7cc-3be5192cfd5a,,3.850,111.580,0.0000000879
8,sustained,warmup,1777004438.063136,1777004438.109853,46.716928482055664,200,8054b3d1-8b76-4946-93fa-164ecba0fea9,,5.440,113.487,0.0000001318
9,sustained,warmup,1777004438.083241,1777004438.121529,38.288116455078125,200,0a94fdd0-8b17-4bed-814c-392798912e84,,3.370,111.580,0.0000000879
10,sustained,warmup,1777004438.102577,1777004438.15108,48.50292205810547,200,6b66e82a-75d8-40e5-90db-fe6f6c660753,,6.170,113.487,0.0000001538
11,sustained,warmup,1777004438.122538,1777004438.165565,43.02692413330078,200,463fe523-0609-4050-89c1-0cd1697703aa,,5.640,113.487,0.0000001318
