request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,execution_ms,memory_used_mb,cost_usd
0,sustained,warmup,1777004437.902882,1777004438.027178,124.29594993591309,200,37834320-41af-466d-8c91-a08da89307b7,,4.190,90.599,0.0000001373
1,sustained,warmup,1777004437.9239302,1777004438.065581,141.65091514587402,200,b6d663bb-259f-4560-b49e-3ebf2dc6053b,,39.530,88.692,0.0000109560
2,sustained,warmup,1777004437.943925,1777004438.0505989,106.6739559173584,200,bee065bb-7ad4-4c2d-b82c-416f9403e6bb,,4.290,90.599,0.0000001373
3,sustained,warmup,1777004437.965287,1777004438.0762591,110.97216606140137,200,be70d985-34dc-46ab-93de-88ee1f680b40,,3.990,90.599,0.0000001098
4,sustained,warmup,1777004437.9847438,1777004438.088661,103.91712188720703,200,32b678e4-0d2c-4992-997d-dc43ac94e134,,4.180,90.599,0.0000001373
5,sustained,warmup,1777004438.0030222,1777004438.109893,106.87088966369629,200,9f970191-4566-474a-81d2-f25870f78dc6,,4.100,89.645,0.0000001373
6,sustained,warmup,1777004438.0232809,1777004438.129314,106.0330867767334,200,2ff1b5ae-a723-46ce-8112-db8344e65a93,,4.160,89.645,0.0000001373
7,sustained,warmup,1777004438.042718,1777004438.085848,43.13015937805176,200,34cccbe8-ac9e-4be8-9ec9-3dd0021891b8,,4.990,89.645,0.0000001373
8,sustained,warmup,1777004438.063352,1777004438.109875,46.52285575866699,200,2aeebaec-6075-4e6d-9d92-8e0c15555236,,4.580,90.599,0.0000001373
9,sustained,warmup,1777004438.0834801,1777004438.1231802,39.70003128051758,200,76744268-cae0-45a1-b83e-ddc1f1869979,,4.050,90.599,0.0000001373
10,sustained,warmup,1777004438.102873,1777004438.1471841,44.3110466003418,200,38750a14-a8df-48a4-9ef8-210e57ce7160,,4.410,89.645,0.0000001373
11,sustained,warmup,1777004438.122806,1777004438.1727529,49.94678497314453,200,a7d66184-8012-4c73-94ae-a316c0e346f3,,3.940,89.645,0.0000001098
12,sustained,warmup,1777004438.1428869,1777004438.1868632,43.9763069152832,200,70bfe175-e282-46f0-ac2c-aef2d513ff7a,,4.180,89.645,0.0000001373
13,sustained,warmup,1777004438.163574,1777004438.221117,57.543039321899414,200,ffff15e4-d52a-4a5d-9647-c2ae78fb81a0,,4.380,89.645,0.0000001373
14,sustained,warmup,1777004438.187973,1777004438.239132,51.158905029296875,200,d5c51b4c-b469-4508-ace9-29ef2d742e4e,,4.390,89.645,0.0000001373
15,sustained,warmup,1777004438.209912,1777004438.261204,51.29194259643555,200,294629e6-3097-41ab-b3ed-07edc552233b,,4.400,90.599,0.0000001373
16,sustained,warmup,1777004438.229227,1777004438.274815,45.588016510009766,200,bc2adb8a-9738-42d0-86fc-d78669b87ca6,,4.390,90.599,0.0000001373
17,sustained,warmup,1777004438.242867,1777004438.291702,48.835039138793945,200,cd851d80-4869-4b6b-90cf-bbb6bd98327b,,4.350,90.599,0.0000001373
18,sustained,warmup,1777004438.2647948,1777004438.304072,39.277076721191406,200,910a1dad-ba19-4ba0-8168-feaf050f90bb,,3.990,90.599,0.0000001098
19,sustained,warmup,1777004438.2832031,1777004438.3275368,44.333696365356445,200,cc6a8368-7a8d-426c-9520-f75bd23e32fe,,3.780,90.599,0.0000001098
20,sustained,warmup,1777004438.303808,1777004438.350052,46.244144439697266,200,827bfd0e-ee81-45e9-9941-f469d0d2a802,,4.110,90.599,0.0000001373
21,sustained,warmup,1777004438.323141,1777004438.363321,40.17996788024902,200,a85f686a-6ede-4f62-98af-824dbb4d7b3b,,4.500,90.599,0.0000001373
22,sustained,warmup,1777004438.342968,1777004438.388753,45.784950256347656,200,0dc666c7-cf61-45f0-8dc3-8f1993a9efc6,,4.130,90.599,0.0000001373
23,sustained,warmup,1777004438.363032,1777004438.404156,41.12386703491211,200,40b60261-9ba9-4c55-adbc-65d8d5e46a6b,,4.160,90.599,0.0000001373
24,sustained,warmup,1777004438.384154,1777004438.425525,41.37086868286133,200,7e8cf77a-f39b-4a9d-bc28-abd8f733af86,,4.010,91.553,0.0000001373
25,sustained,warmup,1777004438.4030132,1777004438.444395,41.3818359375,200,033cd779-9d1a-437e-9411-37930de1f1bc,,4.050,91.553,0.0000001373
26,sustained,warmup,1777004438.4239092,1777004438.4630778,39.168596267700195,200,ebb0668a-1946-4a29-a36e-3acc0f808935,,4.520,91.553,0.0000001373
27,sustained,warmup,1777004438.443062,1777004438.4851751,42.11306571960449,200,50b8534c-a41b-4412-883a-92a31acc2dfd,,4.010,91.553,0.0000001373
28,sustained,warmup,1777004438.462753,1777004438.505634,42.881011962890625,200,b726dc62-6e3f-4bee-a6fa-b32243f002c9,,4.300,91.553,0.0000001373
29,sustained,warmup,1777004438.4843671,1777004438.526269,41.90182685852051,200,deeba623-e2a0-4287-b9f5-f2b47b1685f6,,4.300,91.553,0.0000001373
30,sustained,warmup,1777004438.503634,1777004438.5459719,42.337894439697266,200,54919231-0d37-492d-a8d6-9883c124f0ed,,4.070,91.553,0.0000001373
31,sustained,warmup,1777004438.5237398,1777004438.565393,41.65315628051758,200,f0293d42-fecc-49b9-aab5-3e34228c27ce,,4.430,92.506,0.0000001373
32,sustained,warmup,1777004438.543295,1777004438.589046,45.751094818115234,200,9f12bf01-444f-43c1-8c9e-636733b032fb,,3.730,92.506,0.0000001098
33,sustained,warmup,1777004438.563103,1777004438.604667,41.563987731933594,200,ac084d67-20bc-45bb-8baa-f012f7467b0b,,4.350,92.506,0.0000001373
34,sustained,warmup,1777004438.582803,1777004438.627119,44.31605339050293,200,80a6e89e-72f6-4dcb-bc82-ea3a5b72b3db,,4.120,92.506,0.0000001373
35,sustained,warmup,1777004438.603234,1777004438.6450062,41.77212715148926,200,1de9743e-6c79-493f-a9c9-a8191d3610fd,,3.920,92.506,0.0000001098
36,sustained,warmup,1777004438.622655,1777004438.6627111,40.05622863769531,200,729fad1c-1940-4488-a8e8-3e955cd88792,,4.140,92.506,0.0000001373
37,sustained,warmup,1777004438.642854,1777004438.6888409,45.98689079284668,200,fa4b976d-b0ff-4f76-8a89-64afefe7a52e,,4.230,92.506,0.0000001373
38,sustained,warmup,1777004438.662953,1777004438.712037,49.08418655395508,200,220501d5-3685-44e3-b592-e124fdad41e0,,4.420,92.506,0.0000001373
39,sustained,warmup,1777004438.68349,1777004438.7299871,46.49710655212402,200,b01c2a7b-30c6-4063-8d3c-c69c4db571aa,,4.430,92.506,0.0000001373
40,sustained,warmup,1777004438.702785,1777004438.744053,41.26787185668945,200,380b7548-51cf-4dbc-8b6c-93e81fa1b309,,4.160,93.460,0.0000001373
