request_id,function_label,runtime,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,is_timeout,execution_ms,init_duration_ms,billed_duration_ms,memory_used_mb,memory_size_mb
0,exp3-go-x86,go,cold_vs_warm,warm,1777027248.9477272,1777027249.0510201,103.29294204711914,200,675ee531-cfb5-4dd5-a72b-48df3621d264,,False,4.250,,5.000,20.027,1687.050
1,exp3-go-x86,go,cold_vs_warm,warm,1777027248.968796,1777027249.0827541,113.95812034606934,200,0d87e6d4-b176-4828-bf35-6ad151c8805a,,False,4.420,,5.000,20.027,1687.050
2,exp3-go-x86,go,cold_vs_warm,warm,1777027248.988807,1777027249.096948,108.14094543457031,200,1b89b6ac-8e15-4b2d-9786-c7a45279e4e3,,False,4.100,,5.000,20.027,1687.050
3,exp3-go-x86,go,cold_vs_warm,warm,1777027249.009058,1777027249.108042,98.9840030670166,200,0befb1bf-0f4a-4dd7-8502-4cb51081d97b,,False,5.370,,6.000,18.120,1687.050
4,exp3-go-x86,go,cold_vs_warm,warm,1777027249.0280929,1777027249.127769,99.67613220214844,200,ddac768a-3cac-4100-a64d-da9557893194,,False,5.300,,6.000,20.981,1687.050
5,exp3-go-x86,go,cold_vs_warm,warm,1777027249.0478778,1777027249.1457589,97.88107872009277,200,d33e1b17-ea49-41ee-aec2-e6bdcbbe32e2,,False,4.350,,5.000,18.120,1687.050
6,exp3-go-x86,go,cold_vs_warm,warm,1777027249.067938,1777027249.1098082,41.8701171875,200,1ca25f41-55f5-46df-bb94-e993572380c1,,False,4.570,,5.000,20.027,1687.050
7,exp3-go-x86,go,cold_vs_warm,warm,1777027249.08816,1777027249.129774,41.61405563354492,200,e27fe45b-efc5-487b-be5d-56883f5106e2,,False,4.590,,5.000,18.120,1687.050
8,exp3-go-x86,go,cold_vs_warm,warm,1777027249.108171,1777027249.14882,40.6489372253418,200,8858597d-b820-47d9-9e9b-ac8b506111e8,,False,4.160,,5.000,20.981,1687.050
9,exp3-go-x86,go,cold_vs_warm,warm,1777027249.1279051,1777027249.167847,39.94178771972656,200,bc468904-f33a-498e-91de-51fbf90b58e5,,False,3.660,,4.000,20.981,1687.050
10,exp3-go-x86,go,cold_vs_warm,warm,1777027249.1479979,1777027249.185878,37.88018226623535,200,a552bbe3-06c2-4ea6-95ed-dc78d93a9895,,False,3.980,,4.000,20.981,1687.050
11,exp3-go-x86,go,cold_vs_warm,warm,1777027249.167979,1777027249.20691,38.93089294433594,200,8bc4f2e0-30c4-42a7-a81a-1ecacff99c29,,False,5.000,,5.000,20.981,1687.050
12,exp3-go-x86,go,cold_vs_warm,warm,1777027249.187986,1777027249.233151,45.165061950683594,200,fd4508fa-5f3d-46ef-9b82-301194a76a66,,False,3.800,,4.000,20.981,1687.050
13,exp3-go-x86,go,cold_vs_warm,warm,1777027249.207865,1777027249.246884,39.019107818603516,200,3fa05158-b4c8-4df7-ad88-e508482b138e,,False,4.500,,5.000,20.981,1687.050
14,exp3-go-x86,go,cold_vs_warm,warm,1777027249.228776,1777027249.269927,41.15104675292969,200,aa58d825-8b34-4d35-94de-b3279dff97d6,,False,4.520,,5.000,20.981,1687.050
15,exp3-go-x86,go,cold_vs_warm,warm,1777027249.247861,1777027249.285912,38.05112838745117,200,337b8960-7e60-4ca1-9247-5e941ff22b2c,,False,3.770,,4.000,20.981,1687.050
16,exp3-go-x86,go,cold_vs_warm,warm,1777027249.268468,1777027249.315049,46.58102989196777,200,6e08ab4d-cbf5-4bb8-8971-d01bfc64cac6,,False,4.030,,5.000,20.981,1687.050
17,exp3-go-x86,go,cold_vs_warm,warm,1777027249.2879832,1777027249.327043,39.05987739562988,200,e9a986d2-9a16-4bd9-b556-065f6c8c93f8,,False,4.790,,5.000,20.981,1687.050
18,exp3-go-x86,go,cold_vs_warm,warm,1777027249.3088,1777027249.351697,42.89698600769043,200,807a0faa-4a67-4575-b5da-d8c018867ea0,,False,4.070,,5.000,20.981,1687.050
19,exp3-go-x86,go,cold_vs_warm,warm,1777027249.327878,1777027249.366063,38.18511962890625,200,4106ad09-c60a-4505-aa1e-dbda852afa6b,,False,4.590,,5.000,21.935,1687.050
20,exp3-go-x86,go,cold_vs_warm,warm,1777027249.348792,1777027249.38706,38.26785087585449,200,c21c1da7-889e-40b1-922e-f8e750a4d3da,,False,3.570,,4.000,21.935,1687.050
21,exp3-go-x86,go,cold_vs_warm,warm,1777027249.367966,1777027249.406042,38.076162338256836,200,22d71de7-1d94-4ec8-8646-eb5af993ac45,,False,3.830,,4.000,21.935,1687.050
22,exp3-go-x86,go,cold_vs_warm,warm,1777027249.387883,1777027249.427118,39.23511505126953,200,554936c3-a758-4f35-ac45-6744019a66db,,False,4.120,,5.000,21.935,1687.050
23,exp3-go-x86,go,cold_vs_warm,warm,1777027249.407973,1777027249.44623,38.25688362121582,200,d3d4a2a0-b791-4c53-b5fa-55eccfc55231,,False,3.860,,4.000,21.935,1687.050
24,exp3-go-x86,go,cold_vs_warm,warm,1777027249.4278378,1777027249.46844,40.60220718383789,200,16d6e374-420c-4a9e-8e39-f27d483808ad,,False,4.170,,5.000,21.935,1687.050
