request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,execution_ms,memory_used_mb,cost_usd
0,sustained,warmup,1777005377.649525,1777005377.98661,337.0850086212158,200,9c60495d-1be2-47e5-b9b3-f2568fe4bed3,,173.710,37.193,0.0000047778
1,sustained,warmup,1777005377.6706371,1777005377.9650502,294.41308975219727,200,c8cb5428-8dd1-4cb1-a5ab-c994a6417453,,151.480,37.193,0.0000041737
2,sustained,warmup,1777005377.690049,1777005377.981598,291.5489673614502,200,218a9dce-3dbf-4379-bf4d-ae8bc350a720,,174.040,37.193,0.0000048052
3,sustained,warmup,1777005377.709903,1777005378.024576,314.67294692993164,200,b4b41dc6-b8f0-40de-9c8e-ab4a60d473c5,,190.120,37.193,0.0000052446
4,sustained,warmup,1777005377.7305229,1777005378.059476,328.9530277252197,200,92e033f0-0f1d-4ad3-951c-760fbbee9602,,175.070,37.193,0.0000048327
5,sustained,warmup,1777005377.750793,1777005378.047031,296.2379455566406,200,0508958b-64ec-4a29-b9c4-fec735c5e06f,,164.210,38.147,0.0000045307
6,sustained,warmup,1777005377.770323,1777005378.0811079,310.78481674194336,200,5391df4d-54cc-4ea0-bf75-9b53c9d78d03,,167.150,37.193,0.0000046130
7,sustained,warmup,1777005377.818922,1777005378.125289,306.3669204711914,200,4d5e24bb-9a18-4431-81e0-79653b01af1d,,134.340,37.193,0.0000037069
8,sustained,warmup,1777005377.82031,1777005378.1539252,333.6150646209717,200,e6f47883-f7dd-48f9-8cf7-c55be655c852,,164.610,37.193,0.0000045307
9,sustained,warmup,1777005377.838733,1777005378.11231,273.5769748687744,200,9ac98886-126f-43da-b79b-ed0c29928f88,,139.240,37.193,0.0000038442
10,sustained,warmup,1777005377.85294,1777005378.181835,328.89485359191895,200,fc141b64-4c7f-456c-bfed-1bc27b33a196,,154.000,37.193,0.0000042561
11,sustained,warmup,1777005377.87144,1777005378.311094,439.6541118621826,200,caa0c132-0e43-446d-8e62-931a13cec13e,,145.980,37.193,0.0000067548
12,sustained,warmup,1777005377.889985,1777005378.2149792,324.9940872192383,200,caca4d89-777b-433f-8fa4-a1b6b98fc34c,,153.050,38.147,0.0000042286
13,sustained,warmup,1777005377.910343,1777005378.332799,422.4560260772705,200,54905cbe-b266-46bd-8a75-6c614e5ee7e4,,156.270,36.240,0.0000071118
14,sustained,warmup,1777005377.929953,1777005378.231951,301.9979000091553,200,3fff0704-795b-45c0-a090-1a075bda9acf,,140.160,37.193,0.0000038717
15,sustained,warmup,1777005377.9506052,1777005378.419929,469.32387351989746,200,3d83e024-1390-4a9c-811e-05420d92020f,,163.900,36.240,0.0000077982
16,sustained,warmup,1777005377.969735,1777005378.215102,245.36705017089844,200,4ed121ee-e115-4ae0-af18-8ad3be9ea3d9,,147.300,37.193,0.0000040639
17,sustained,warmup,1777005377.990208,1777005378.3253329,335.1249694824219,200,6f17e847-a91e-4f37-887c-25709b37f98d,,142.190,36.240,0.0000068097
18,sustained,warmup,1777005378.010619,1777005378.272382,261.7630958557129,200,f8e30d78-8250-4984-b683-fcd880c56ce7,,151.010,37.193,0.0000041737
19,sustained,warmup,1777005378.03022,1777005378.281332,251.1119842529297,200,84e4afdb-9c74-4fb4-bda9-439bcd3f509f,,151.530,37.193,0.0000041737
20,sustained,warmup,1777005378.0498838,1777005378.4416902,391.80636405944824,200,d4a1c278-d62b-48dc-8687-57b30189b069,,149.930,36.240,0.0000081277
21,sustained,warmup,1777005378.070663,1777005378.420018,349.35498237609863,200,fb59ccc6-3118-472d-9aef-b48f4fd9b4de,,158.820,37.193,0.0000072216
22,sustained,warmup,1777005378.089673,1777005378.359922,270.2488899230957,200,0a66314f-c2bc-4ff8-b7f8-bdb1e5b8cf0b,,151.930,36.240,0.0000075236
23,sustained,warmup,1777005378.110603,1777005378.369066,258.46290588378906,200,ef13d291-5f5a-4072-96b0-d118d2edc2f5,,152.720,37.193,0.0000042012
24,sustained,warmup,1777005378.1300569,1777005378.311213,181.15615844726562,200,867b1722-8095-4cfb-a957-08f0335003b6,,146.250,37.193,0.0000040364
25,sustained,warmup,1777005378.150548,1777005378.35527,204.72192764282227,200,dfd2f74e-98ed-49cc-b8dd-dc4556a813c5,,163.580,37.193,0.0000045032
26,sustained,warmup,1777005378.1706262,1777005378.487424,316.79773330688477,200,52538995-447b-47f5-981f-0468361c486b,,158.990,36.240,0.0000075511
27,sustained,warmup,1777005378.19051,1777005378.3894122,198.90213012695312,200,0a1a1731-cdbb-41c3-9bbe-dda9555a2b9d,,152.840,38.147,0.0000042012
28,sustained,warmup,1777005378.210515,1777005378.487652,277.13704109191895,200,5dd9327d-7cc5-4491-b212-d586b5ddb551,,152.510,37.193,0.0000042012
29,sustained,warmup,1777005378.230556,1777005378.4405398,209.98382568359375,200,377cd3ae-a04d-4715-8c9e-53bc95c4d9c5,,163.530,37.193,0.0000045032
30,sustained,warmup,1777005378.250453,1777005378.431047,180.59396743774414,200,496fdcc3-0990-43ad-a863-7faef5de7dda,,141.150,37.193,0.0000038991
31,sustained,warmup,1777005378.270572,1777005378.487614,217.0419692993164,200,8dd6399d-b769-459d-94de-2b6689de5ae9,,142.830,37.193,0.0000039266
32,sustained,warmup,1777005378.290619,1777005378.487692,197.07322120666504,200,cfb0dbc0-276b-4cb0-b847-3e411d6be590,,140.530,37.193,0.0000038717
33,sustained,warmup,1777005378.3101592,1777005378.506471,196.31171226501465,200,e9d43a81-1806-4be6-8806-054d58a3bbdc,,157.140,36.240,0.0000043385
34,sustained,warmup,1777005378.330281,1777005378.526763,196.48194313049316,200,666cbf64-a87b-4b20-8c2a-eab8267560cc,,157.950,36.240,0.0000043385
35,sustained,warmup,1777005378.3506482,1777005378.550003,199.354887008667,200,437afbd8-a3a2-4d14-ada2-986d1d46d22b,,162.330,38.147,0.0000044757
36,sustained,warmup,1777005378.369604,1777005378.560464,190.85979461669922,200,c03d674f-c48c-4552-99d8-4ab1ce71379c,,156.830,37.193,0.0000043110
37,sustained,warmup,1777005378.3895428,1777005378.550899,161.35621070861816,200,f65395c9-4850-409c-9873-0eeddb696719,,127.430,36.240,0.0000035147
38,sustained,warmup,1777005378.410573,1777005378.60379,193.21703910827637,200,3456c6a7-6114-41eb-bf53-100a09657d8c,,154.980,37.193,0.0000042561
39,sustained,warmup,1777005378.4305768,1777005378.619099,188.5221004486084,200,9ea30ba2-49bd-4d18-bcb5-4a792676b5ec,,146.750,37.193,0.0000040364
40,sustained,warmup,1777005378.4505332,1777005378.62751,176.97691917419434,200,c39b3653-09b4-41ef-a611-11cd4b74caab,,139.270,37.193,0.0000038442
41,sustained,warmup,1777005378.470583,1777005378.653718,183.1350326538086,200,88a427ff-20d6-4208-9b7b-29e62bc78e27,,143.120,37.193,0.0000039540
42,sustained,warmup,1777005378.48977,1777005378.672543,182.77311325073242,200,597b7c51-3e25-42a5-9d56-a50eb41479f2,,140.470,36.240,0.0000038717
43,sustained,warmup,1777005378.50993,1777005378.704832,194.9021816253662,200,474394c1-d356-43ad-bb9f-7b1f7de3261d,,154.430,36.240,0.0000042561
44,sustained,warmup,1777005378.5299048,1777005378.7199621,190.05727767944336,200,f0732f3c-4505-419d-9c5b-ffc65de489bd,,153.510,36.240,0.0000042286
45,sustained,warmup,1777005378.550147,1777005378.73531,185.16302108764648,200,54f72d69-a2a0-441d-ad43-698a2bd77aed,,141.610,37.193,0.0000038991
46,sustained,warmup,1777005378.570508,1777005378.751626,181.11801147460938,200,466fa469-0b68-4cb0-a12f-5ce0cdb6de84,,140.630,38.147,0.0000038717
47,sustained,warmup,1777005378.590868,1777005378.792942,202.0740509033203,200,f8a34476-d835-47be-b2ed-eb5f99c9e437,,156.310,37.193,0.0000043110
48,sustained,warmup,1777005378.610445,1777005378.814744,204.2989730834961,200,855a0382-a421-4752-bb80-8588561c64d5,,160.490,37.193,0.0000044208
49,sustained,warmup,1777005378.6299222,1777005378.815073,185.1508617401123,200,924f7154-a1f5-45e9-9d69-78a39301f431,,147.120,37.193,0.0000040639
50,sustained,warmup,1777005378.650762,1777005378.840236,189.47386741638184,200,4c320666-6a18-404f-9085-a859288261ac,,149.820,36.240,0.0000041188
51,sustained,warmup,1777005378.6705768,1777005378.893567,222.9902744293213,200,405c8841-a2ee-48c2-8418-8d818507563d,,176.820,37.193,0.0000048602
52,sustained,warmup,1777005378.6900322,1777005378.873369,183.33673477172852,200,3e268106-efb4-422b-a28d-89f61ffe82e9,,138.840,36.240,0.0000038167
