request_id,profile,phase,timestamp_sent,timestamp_received,latency_ms,http_status,lambda_request_id,error,execution_ms,memory_used_mb,cost_usd
0,burst,spike,1777006214.2036061,1777006214.790001,586.3947868347168,200,090ee153-f4bc-41a4-be5a-517d1ea69e99,,150.770,36.240,0.0000078531
1,burst,spike,1777006214.2192278,1777006214.746921,527.6932716369629,200,1fecaef1-7a7c-4014-b143-a3b8731e7b08,,148.570,36.240,0.0000068646
2,burst,spike,1777006214.219373,1777006214.7395399,520.1668739318848,200,3519940e-c4db-4639-9b37-9ecedf881525,,140.490,36.240,0.0000068097
3,burst,spike,1777006214.2194052,1777006214.7648451,545.4399585723877,200,29b083ac-7437-419a-ac64-ce7ecf3b4adf,,152.740,36.240,0.0000073040
4,burst,spike,1777006214.21943,1777006214.7416608,522.230863571167,200,21ed3bd7-3164-4f7d-ad3e-9e4ffd5cd993,,148.240,36.240,0.0000068646
5,burst,spike,1777006214.2194529,1777006214.534497,315.0441646575928,200,3bb24afb-06e6-4d0f-94d0-2da2898c6ddb,,159.060,38.147,0.0000043934
6,burst,spike,1777006214.219483,1777006214.743602,524.1191387176514,200,d9a57c62-bd93-47cd-8b64-d9501ee3c255,,142.690,37.193,0.0000068097
7,burst,spike,1777006214.219507,1777006214.752821,533.3139896392822,200,11347f8c-23f5-4e07-99ac-1f5f4178f78f,,163.440,37.193,0.0000071941
8,burst,spike,1777006214.219808,1777006214.73188,512.0718479156494,200,00cdfa0c-ec84-4f98-86f9-ecb1cc8edf9b,,140.080,36.240,0.0000066999
9,burst,spike,1777006214.221506,1777006214.5390642,317.55805015563965,200,c865e0da-fd68-4125-869a-0aacdd693413,,161.890,37.193,0.0000044483
10,burst,spike,1777006214.2237818,1777006214.775122,551.3401031494141,200,65faa41e-9ba1-4926-9107-d5ffa35e34ef,,151.210,36.240,0.0000074413
11,burst,spike,1777006214.225575,1777006214.7764459,550.8708953857422,200,d844cc80-0c23-485e-985e-fb1017edc38f,,168.650,36.240,0.0000075786
12,burst,spike,1777006214.227531,1777006214.750782,523.2510566711426,200,9415e62d-7e40-4761-ba99-cf3df6f2614f,,154.120,36.240,0.0000071392
13,burst,spike,1777006214.229524,1777006214.539157,309.6330165863037,200,24ab5e4c-4463-47f0-b95f-8acf104e059b,,163.690,37.193,0.0000045032
14,burst,spike,1777006214.231522,1777006214.5428789,311.356782913208,200,162a48fd-282f-4b42-8c6b-7077c5aa636d,,164.900,37.193,0.0000045307
15,burst,spike,1777006214.233522,1777006214.764003,530.4811000823975,200,2e51a548-8b75-469b-8d3f-41ad644560e9,,144.160,36.240,0.0000071392
16,burst,spike,1777006214.235691,1777006214.77983,544.1389083862305,200,bc9f3fdf-cb1d-4ae9-9043-3af801282fcf,,142.830,36.240,0.0000070568
17,burst,spike,1777006214.237511,1777006214.739508,501.9969940185547,200,156c714e-d50a-4534-a4a8-df50f76c70d3,,134.360,36.240,0.0000065626
18,burst,spike,1777006214.2395651,1777006214.750756,511.19089126586914,200,fffc6946-a91e-4d84-bb60-5ce0e32d6a45,,157.890,37.193,0.0000070294
19,burst,spike,1777006214.241581,1777006214.539009,297.4281311035156,200,3afda91f-e4b7-43cc-95d1-bc4aed4c5f32,,163.210,39.101,0.0000045032
20,burst,spike,1777006214.243544,1777006214.7341921,490.6480312347412,200,2273f994-9740-42ba-b72b-63eac2dc8ec7,,146.100,36.240,0.0000068097
21,burst,spike,1777006214.2455292,1777006214.5448298,299.3006706237793,200,cf36e6ed-56f8-4983-b7a9-e72ccad19a9d,,170.250,40.054,0.0000046954
22,burst,spike,1777006214.2475588,1777006214.768982,521.4231014251709,200,a279b6b4-706a-40ea-8f17-583e17089c23,,150.020,36.240,0.0000071118
23,burst,spike,1777006214.249425,1777006214.546536,297.11103439331055,200,6925c9c6-6bf9-4bed-afca-f4ae0877871c,,171.630,37.193,0.0000047229
24,burst,spike,1777006214.2523541,1777006214.752942,500.58794021606445,200,b62e0cfd-5348-46df-a94b-d765e934a655,,154.270,36.240,0.0000070294
25,burst,spike,1777006214.253409,1777006214.772452,519.0432071685791,200,a0112a39-d1f9-4e8f-8a5e-f73fcec84450,,160.270,36.240,0.0000075236
26,burst,spike,1777006214.2555661,1777006214.795766,540.1999950408936,200,31a9605d-7169-47aa-bc0b-fddadf444255,,147.460,36.240,0.0000078531
27,burst,spike,1777006214.257528,1777006214.798956,541.4278507232666,200,bdbcc372-2864-4a23-9839-acf30743e3d4,,198.290,36.240,0.0000083199
28,burst,spike,1777006214.259496,1777006214.744482,484.9860668182373,200,1f00a719-3a2a-4736-bc7b-2f56fe4273a0,,146.660,36.240,0.0000068646
29,burst,spike,1777006214.261518,1777006214.7506392,489.1211986541748,200,44aee1ab-c41d-4173-8c80-46884d90da9f,,152.290,36.240,0.0000070568
30,burst,spike,1777006214.263658,1777006214.771775,508.1169605255127,200,96641422-26bf-4708-9e42-c7fc735fd88f,,144.080,36.240,0.0000073040
31,burst,spike,1777006214.265485,1777006214.54656,281.07500076293945,200,b2f22417-7261-4807-98fb-4827087a852b,,170.150,36.240,0.0000075511
32,burst,spike,1777006214.2709298,1777006214.7436302,472.7003574371338,200,5da8d7d3-8c6c-41e6-a859-7fd483d6e2ba,,135.520,36.240,0.0000065351
33,burst,spike,1777006214.271042,1777006214.75382,482.77783393859863,200,c3ae5c1a-3834-4942-98b1-0c23f5015e94,,157.290,36.240,0.0000072216
34,burst,spike,1777006214.271613,1777006214.739564,467.95105934143066,200,37d7583a-52c8-436b-bb8d-307b7ae43938,,131.610,36.240,0.0000066724
35,burst,spike,1777006214.2735171,1777006214.735347,461.82990074157715,200,349a685d-eb7e-47e6-a156-1699b20b3593,,148.650,36.240,0.0000067823
36,burst,spike,1777006214.275574,1777006214.7444532,468.87922286987305,200,faa23858-27ee-48ee-b209-8784accf8e23,,142.030,36.240,0.0000067273
37,burst,spike,1777006214.2775092,1777006214.734257,456.74777030944824,200,9d9ec5d6-83d8-454a-805d-2260a642ef86,,137.700,36.240,0.0000065351
38,burst,spike,1777006214.2827451,1777006214.779896,497.1508979797363,200,ca41ddbe-f1b6-4077-9bc8-cfc1b76b40cb,,141.640,36.240,0.0000073040
39,burst,spike,1777006214.2828648,1777006214.752915,470.0500965118408,200,6a60837d-a92c-48ae-b162-21f9b9b41a77,,143.690,36.240,0.0000066724
40,burst,spike,1777006214.284555,1777006214.786409,501.85394287109375,200,99053380-29ad-4602-b13c-0854bc1a7733,,165.050,36.240,0.0000074413
41,burst,spike,1777006214.285868,1777006214.771724,485.8560562133789,200,b7ca1b72-aab7-4456-8974-313dd6dfb863,,150.560,37.193,0.0000070294
42,burst,spike,1777006214.2873302,1777006214.7717519,484.4217300415039,200,afb6863e-2e61-46e6-95aa-33dcd10b5d6a,,141.400,36.240,0.0000069470
43,burst,spike,1777006214.289533,1777006214.764791,475.25811195373535,200,878c9dd0-7194-4d3d-a08c-eb725e6aff43,,140.370,37.193,0.0000066175
44,burst,spike,1777006214.2915509,1777006214.766871,475.32010078430176,200,fd597a79-5ca8-48fd-b8f4-fbb806153794,,142.300,36.240,0.0000066724
45,burst,spike,1777006214.293338,1777006214.7863748,493.03674697875977,200,33ca5b2b-d470-4503-b28d-2542cb8b2c02,,145.090,36.240,0.0000074413
46,burst,spike,1777006214.295539,1777006214.7648199,469.2809581756592,200,979e57bc-63be-42e1-aba7-c46c086ffbfc,,142.860,37.193,0.0000065077
47,burst,spike,1777006214.297411,1777006214.7672782,469.8672294616699,200,11c510e7-dcc3-4eb6-8353-b4ed3823a488,,157.310,36.240,0.0000070294
48,burst,spike,1777006214.299525,1777006214.780064,480.53908348083496,200,272b2f20-5ecc-455f-8c8f-27b2f645d99f,,149.490,36.240,0.0000071118
49,burst,spike,1777006214.302845,1777006214.74696,444.11492347717285,200,2634dcfd-d159-4f92-a4c6-71757e15ca16,,137.030,36.240,0.0000063155
50,burst,spike,1777006214.303346,1777006214.775149,471.8031883239746,200,e24fe784-da66-4b5d-a1bd-07497ee235c0,,147.430,36.240,0.0000067548
51,burst,spike,1777006214.305397,1777006214.823756,518.3589458465576,200,5199b639-8237-417f-a9e7-d363fd352dcf,,161.370,36.240,0.0000080454
52,burst,spike,1777006214.307528,1777006214.789929,482.40089416503906,200,8a82cec5-19b0-4819-9d71-0d4d8fcaae64,,149.850,36.240,0.0000069745
